,latitude,longitude,neighbor
0,35.092986,-80.8591842,3
1,36.099854,-115.0747674,3
2,33.654836,-112.188118,12
3,41.4408252653,-81.8540965503,1
4,33.495462,-112.028378,2
5,35.5275686,-80.8682531,5
6,41.70852,-81.359556,1
7,41.6409662,-81.4068549,25
8,33.599373,-111.976761,24
9,36.1165487,-115.0881146,12
10,36.1694,-115.140782,76
11,36.2258515,-115.1328004,1
12,36.0801675,-115.1827558,5
13,36.2716203,-115.2646169,3
14,36.1956146,-115.0405289,4
15,36.129392,-115.1842588,4
16,36.1615267017,-115.2870333436,6
17,35.21051,-80.690262,1
18,35.156215,-80.831475,13
19,33.624047,-112.186376,6
20,36.2360535,-115.0964542,1
21,33.6165258,-111.9269887,17
22,33.3203855,-111.8046523,3
23,35.1007253747,-80.9920791686,4
24,33.6405155,-111.9245358,10
25,33.5528496,-112.1259755,1
26,35.172028,-80.746801,3
27,35.1026689211,-80.98548535,12
28,35.352455,-80.851147,30
29,33.5063725,-112.3587447,4
30,40.4657201,-79.9494561,2
31,36.1577682063,-115.2860279123,41
32,33.5090108,-112.0696671,1
33,40.4414335,-80.0020533,178
34,33.2973183349,-111.9964501262,9
35,33.4842100799,-111.9342308109,1
36,40.376674,-79.88248,1
37,33.612935,-111.976905,13
38,41.3919634,-81.5357443,5
39,33.437778,-111.734964,3
40,36.2395570019,-115.0796038143,1
41,42.986419914,-89.5479280483,1
42,33.5677549,-112.1823757,3
43,33.57373,-111.86251,31
44,33.5694844,-112.0688287,1
45,36.2873119,-115.2895402,3
46,35.267703,-80.8534335,1
47,33.6403498,-112.1876634,3
48,33.4283049,-112.0487683,2
49,41.4165875685,-81.9043700652,2
50,41.261133,-81.503467,2
51,41.4817445,-81.8361651,21
52,36.19185,-115.3053811,8
53,40.2745375,-80.1693759,1
54,36.0985812,-115.2073729,6
55,33.3832079,-111.927103,4
56,36.12454,-115.135389,25
57,36.1437574,-115.169723,4
58,33.60912,-112.255836,4
59,33.3334,-111.912688,19
60,33.3024257,-111.8422554,49
61,35.3648071289,-80.7088470459,3
62,33.4237096,-111.8233689,1
63,40.4623454064,-79.9241651595,1
64,35.220895,-80.814996,4
65,36.020033,-115.050209,5
66,36.0107451,-115.0648029,2
67,35.1997979674,-80.842294693,3
68,43.0750489,-89.3265252,2
69,33.454286,-111.909405,1
70,33.594688,-111.9793567,4
71,35.2555466,-81.1014888,1
72,36.1123377749,-115.1716961371,39
73,35.174487,-80.8484579,48
74,36.1421161808,-115.1742515629,1
75,33.5371638,-112.1329258,2
76,36.1743224,-115.0664772,2
77,33.4788312998,-111.9257170246,18
